ScenarioId	StepNumber	Replication	Time	Site	Product	Variable	Average	SimpleAverage	StdDev	Min	Max	Current	Total	Period
0	1	1	10/03/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						15459.000000		10	
0	1	1	10/03/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		10	
0	1	1	10/03/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						29377.000000		10	
0	1	1	10/03/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						283572.000000		10	
0	1	1	10/03/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		10	
0	1	1	10/03/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						504339.000000		10	
0	1	1	10/03/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						697635.000000		10	
0	1	1	10/03/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						414063.000000		10	
0	1	1	10/04/2016 15:23:06	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						193296.000000		10	
0	1	1	10/05/2016 22:02:50	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		10	
0	1	1	10/11/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						344.000000		10	
0	1	1	10/11/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		10	
0	1	1	10/21/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						524.000000		10	
0	1	1	10/21/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		10	
0	1	1	10/23/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						554.000000		10	
0	1	1	10/23/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		10	
0	1	1	10/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						547.000000		10	
0	1	1	10/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		10	
0	1	1	11/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1266.000000		11	
0	1	1	11/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		11	
0	1	1	11/07/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						555.000000		11	
0	1	1	11/07/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		11	
0	1	1	11/10/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						623.000000		11	
0	1	1	11/10/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		11	
0	1	1	11/11/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						544.000000		11	
0	1	1	11/11/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		11	
0	1	1	11/19/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						541.000000		11	
0	1	1	11/19/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		11	
0	1	1	11/22/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						605.000000		11	
0	1	1	11/22/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		11	
0	1	1	11/28/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						540.000000		11	
0	1	1	11/28/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		11	
